size,year,buyer,totalS,totalK,total,index
334015,1780,Settlers (Sold by Sulpicians),334015,551435077,551769092,1
387380,1780,Settlers (Sold by Sulpicians),721395,551047697,551769092,2
296840,1780,Settlers (Sold by Sulpicians),1018235,550750857,551769092,3
373018,1780,Settlers (Sold by Sulpicians),1391253,550377839,551769092,4
342323,1780,Settlers (Sold by Sulpicians),1733576,550035516,551769092,5
360645,1780,Settlers (Sold by Sulpicians),2094221,549674871,551769092,6
332265,1780,Settlers (Sold by Sulpicians),2426486,549342606,551769092,7
391716,1780,Settlers (Sold by Sulpicians),2818202,548950890,551769092,8
343185,1780,Settlers (Sold by Sulpicians),3161387,548607705,551769092,9
284588,1780,Settlers (Sold by Sulpicians),3445975,548323117,551769092,10
298246,1780,Settlers (Sold by Sulpicians),3744221,548024871,551769092,11
293157,1780,Settlers (Sold by Sulpicians),4037378,547731714,551769092,12
238219,1780,Settlers (Sold by Sulpicians),4275597,547493495,551769092,13
227166,1780,Settlers (Sold by Sulpicians),4502763,547266329,551769092,14
325336,1780,Settlers (Sold by Sulpicians),4828099,546940993,551769092,15
290524,1780,Settlers (Sold by Sulpicians),5118623,546650469,551769092,16
272911,1780,Settlers (Sold by Sulpicians),5391534,546377558,551769092,17
336643,1780,Settlers (Sold by Sulpicians),5728177,546040915,551769092,18
265087,1780,Settlers (Sold by Sulpicians),5993264,545775828,551769092,19
245227,1780,Settlers (Sold by Sulpicians),6238491,545530601,551769092,20
281027,1780,Settlers (Sold by Sulpicians),6519518,545249574,551769092,21
291989,1780,Settlers (Sold by Sulpicians),6811507,544957585,551769092,22
286449,1780,Settlers (Sold by Sulpicians),7097956,544671136,551769092,23
347956,1780,Settlers (Sold by Sulpicians),7445912,544323180,551769092,24
283281,1780,Settlers (Sold by Sulpicians),7729193,544039899,551769092,25
311665,1780,Settlers (Sold by Sulpicians),8040858,543728234,551769092,26
309151,1780,Settlers (Sold by Sulpicians),8350009,543419083,551769092,27
302955,1780,Settlers (Sold by Sulpicians),8652964,543116128,551769092,28
251693,1780,Settlers (Sold by Sulpicians),8904657,542864435,551769092,29
312792,1780,Settlers (Sold by Sulpicians),9217449,542551643,551769092,30
773265,1780,Settlers (Sold by Sulpicians),9990714,541778378,551769092,31
687493,1780,Settlers (Sold by Sulpicians),10678207,541090885,551769092,32
304113,1780,Settlers (Sold by Sulpicians),10982320,540786772,551769092,33
168490,1780,Settlers (Sold by Sulpicians),11150810,540618282,551769092,34
345174,1780,Settlers (Sold by Sulpicians),11495984,540273108,551769092,35
258433,1780,Settlers (Sold by Sulpicians),11754417,540014675,551769092,36
191426,1780,Settlers (Sold by Sulpicians),11945843,539823249,551769092,37
163112,1780,Settlers (Sold by Sulpicians),12108955,539660137,551769092,38
160089,1780,Settlers (Sold by Sulpicians),12269044,539500048,551769092,39
180025,1780,Settlers (Sold by Sulpicians),12449069,539320023,551769092,40
176527,1780,Settlers (Sold by Sulpicians),12625596,539143496,551769092,41
326698,1780,Settlers (Sold by Sulpicians),12952294,538816798,551769092,42
284703,1780,Settlers (Sold by Sulpicians),13236997,538532095,551769092,43
317349,1780,Settlers (Sold by Sulpicians),13554346,538214746,551769092,44
298033,1780,Settlers (Sold by Sulpicians),13852379,537916713,551769092,45
319888,1780,Settlers (Sold by Sulpicians),14172267,537596825,551769092,46
461407,1780,Settlers (Sold by Sulpicians),14633674,537135418,551769092,47
370664,1780,Settlers (Sold by Sulpicians),15004338,536764754,551769092,48
434135,1780,Settlers (Sold by Sulpicians),15438473,536330619,551769092,49
